title,description,author,date,link
'Drinking & Talking' Discovers The Real Harry Reid,"The ""Drinking & Talking"" continues as HuffPost's Sam Stein digs deep into the legacy of current Senate Minority Leader Sen. Harry Reid (D-NV).",HuffPost Video,02/12/15,https://www.huffpost.com/entry/drinking-talking-discovers-the-real-harry-reid_n_5b56fba9e4b01e373aac13a3
Why America Needs a Middle Child,"And as I grow older, I have come to appreciate what the middle represents and why it is vital to a society's well being. Being the middle asks us to part with our ego and find a solution because inevitably as the middle child, you always shared a room.",Heidi Legg,08/18/15,https://www.huffpost.com/entry/why-america-needs-a-middl_b_8005436
Apparently Kylie Jenner Thinks She 'Started Wigs',"""I just do whatever I want to do, and people will follow.”",Jamie Feldman,04/11/16,https://www.huffpost.com/entry/kylie-jenner-wigs-marie-claire_n_570bb125e4b0836057a1a336
Doctor Urged Psychiatric Treatment For Germanwings Co-Pilot 2 Weeks Before Crash,"But the physician didn't inform aviation authorities or the airline about Andreas Lubitz's illness, a report has found.",Reuters,03/14/16,https://www.huffpost.com/entry/germanwings-andreas-lubitz-hospital-doctor_n_56e67ce9e4b0b25c91825a6a
James Corden Says The Most Charming Thank-You For Two Emmys,Sometimes pure gratitude can be entertaining.,Ron Dicker,09/13/16,https://www.huffpost.com/entry/james-corden-says-the-most-charming-thank-you-for-two-emmys_n_11988330
"After Primary Chaos, GOP Plots Overhaul Of Nomination Process",,Paul Vale,05/24/16,https://www.huffpost.com/entry/gop-mulls-overhaul-of-primaries_n_5744b5d7e4b0dacf7ad33718
"Jeb Bush Had His Best Debate, But It Probably Doesn't Matter",The GOP presidential hopeful finally took on Donald Trump.,Igor Bobic,12/16/15,https://www.huffpost.com/entry/jeb-bush-debate-trump_n_56717156e4b0dfd4bcbffbee
Ethan Hawke Addresses Incredible 'Moon Knight' Fan Theories On 'Tonight Show',The actor plays villain Arthur Harrow in the Marvel superhero series on Disney+.,Ron Dicker,03/25/22,https://www.huffpost.com/entry/ethan-hawke-moon-knight-fan-theories_n_623dc5f8e4b030e7392e54e9
Voters Back Liability For Companies That Mislead About Climate Change: Poll,Support for the idea is especially strong among Democrats and independents.,Alexander C. Kaufman,08/23/19,https://www.huffpost.com/entry/climate-liability_n_5d6025fae4b0b59d257433bd
First Nighter: Annaleigh Ashford as A. R. Gurney's Talking Dog Runs Away With 'Sylvia',"The comedy winks at a particular instance of a dog being man's best friend -- but not, as Gurney writes it, a woman's best friend. What the prolific playwright has here is the study of one guy's middle-age crisis, kinda sorta mixed with one guy's offbeat seven-year itch.",David Finkle,10/27/15,https://www.huffpost.com/entry/first-nighter-annaleigh-a_b_8403382
Is The Statue Of Liberty A Man?,Author believes the model for Lady Liberty was sculptor Frédéric Auguste Bartholdi's brother.,Ed Mazza,07/04/16,https://www.huffpost.com/entry/statue-of-liberty-man_n_5779a460e4b0a629c1aa711a
Tax Tips for Healthcare Professionals,,Mark A. Steber,06/24/16,https://www.huffpost.com/entry/tax-tips-for-healthcare-p_b_10661312
War Movies and the American Dream,,Carnegie Corporation of New York,07/06/16,https://www.huffpost.com/entry/war-movies-and-the-americ_b_10816164
A Trans Perspective on Queer Unity on the Two Month Anniversary of the Pulse Tragedy,"It’s sad to think that it could take this kind of massacre to bring our community together,",Stefani Dexaeris,08/13/16,https://www.huffpost.com/entry/a-trans-perspective-on-queer-unity-on-the-two-month_b_57ae654de4b0e7935e04f258
Wild Deer Visits 81-Year-Old Woman Twice A Day For A Snack,"Experts typically say you shouldn't feed wild deer. But in this case, it's saved the stag from hunters.",David Moye,04/27/17,https://www.huffpost.com/entry/mette-kvam-wild-deer-doorstep_n_5902654de4b05c39767d40e3
Seeing the Helicopter in the Room,"During one of my early trips with Soccer Without Borders (SWB), we scheduled a coaching clinic on the island of Ometepe, otherwise known as a ""volcano island."" As luck would have it, that same week the volcano began to show signs of erupting.",Mary McVeigh,04/17/15,https://www.huffpost.com/entry/seeing-the-helicopter-in-_b_7083758
"Carson's Outrageous Remarks Are Helping, Not Hurting",,Chloe Angyal,10/12/15,https://www.huffpost.com/entry/carsons-gaffes-are-helping-not-hurting_n_8281446
San Francisco Politician Fends Off Reporter: 'Fox News Is Not Real News',"Does this have a better ring to it than ""fair and balanced""?",Michael McLaughlin,07/15/15,https://www.huffpost.com/entry/san-francisco-politician-fox-news_n_55a687a5e4b0896514cff492
"From a Recipient of Birthright Citizenship: Immigration Made America Great, Because Immigrants Are Us","Whether we are descended from majority who came here willfully and found a better life, or from the many who came here unwillingly and lived lives of destitution and terror, the fact remains: We are all transplants, all the descendants of immigrants who desired to have a flourishing life.",Michael Shammas,08/27/15,https://www.huffpost.com/entry/from-a-recipient-of-birth-citizenship_b_8032428
13 LGBT TV Characters Who Are Getting It Right,,James Michael Nichols,11/01/15,https://www.huffpost.com/entry/13-lgbt-tv-characters-who-are-getting-it-right_n_5633ad47e4b0c66bae5c48d3
The GOP Debate: It's What Oligarchy Looks Like,"Recently five Republican presidential candidates paraded themselves before a group of mega-donors convened by the billionaire Koch brothers in Dana Point, California. The interests of the big-money donors were reflected in Thursday's debate - in what we did and didn't hear.",Richard (RJ) Eskow,08/07/15,https://www.huffpost.com/entry/the-gop-debate-thats-what_b_7956278
The purpose of Purpose,"The human race has had a long standing struggle with finding purpose and meaning in life. That struggle has now begun to creep into our businesses and organizations, big and small.",Swati Joshi,03/18/16,https://www.huffpost.com/entry/the-purpose-of-purpose_b_9493908
Have The Best Brows Ever!,,Allure,01/26/16,https://www.huffpost.com/entry/10-tricks-for-getting-you_b_9078930
"Officer, Suspect Both Dead After Shootout In New Mexico",The suspect had three active arrest warrants.,Steven Hoffer,09/03/16,https://www.huffpost.com/entry/new-mexico-police-shooting_n_57cb0183e4b078581f1345ce
