Query ID,Precision,Recall,F-measure,F1-measure,Accuracy
51,0.009378663540445486,0.8,0.009378663540445486,0.01853997682502897,0.00935672514619883
52,0.004484304932735426,1.0,0.004484304932735426,0.008928571428571428,0.004484304932735426
53,0.0,0.0,0,0,0.0
54,0.009478672985781991,0.6666666666666666,0.009478672985781991,0.01869158878504673,0.009433962264150943
55,0.008486562942008486,0.6,0.008486562942008486,0.016736401673640166,0.008438818565400843
56,0.008206330597889801,0.7,0.008206330597889801,0.01622247972190035,0.008177570093457943
57,0.0049261083743842365,0.2857142857142857,0.0049261083743842365,0.009685230024213076,0.004866180048661801
58,0.010819165378670788,0.7777777777777778,0.010819165378670786,0.021341463414634144,0.01078582434514638
59,0.0039447731755424065,1.0,0.0039447731755424065,0.007858546168958742,0.0039447731755424065
61,0.0035971223021582736,0.8,0.003597122302158274,0.007162041181736796,0.0035938903863432167
62,0.004137931034482759,0.6,0.004137931034482759,0.008219178082191782,0.0041265474552957355
66,0.004032258064516129,0.8,0.004032258064516129,0.00802407221664995,0.004028197381671702
67,0.00530035335689046,0.21428571428571427,0.00530035335689046,0.010344827586206896,0.005199306759098787
68,0.007042253521126761,0.8,0.007042253521126761,0.013961605584642234,0.007029876977152899
69,0.0071174377224199285,0.8,0.007117437722419929,0.014109347442680777,0.007104795737122558
71,0.008244994110718492,0.875,0.008244994110718492,0.01633605600933489,0.00823529411764706
72,0.019696969696969695,0.7647058823529411,0.019696969696969695,0.03840472673559823,0.01957831325301205
74,0.005509641873278237,0.6666666666666666,0.005509641873278237,0.010928961748633882,0.005494505494505495
79,0.008048289738430584,0.8,0.008048289738430584,0.01593625498007968,0.008032128514056224
80,0.007518796992481203,0.75,0.007518796992481203,0.014888337468982629,0.0075
81,0.0021390374331550803,1.0,0.0021390374331550803,0.004268943436499467,0.0021390374331550803
82,0.0036496350364963502,0.6,0.0036496350364963502,0.007255139056831922,0.0036407766990291263
83,0.00202020202020202,0.5,0.00202020202020202,0.004024144869215291,0.0020161290322580645
84,0.01037344398340249,0.9090909090909091,0.01037344398340249,0.020512820512820513,0.010362694300518135
85,0.0014771048744460858,0.25,0.0014771048744460858,0.0029368575624082235,0.0014705882352941176
86,0.0008976660682226212,0.5,0.0008976660682226212,0.0017921146953405018,0.0008968609865470852
87,0.0024096385542168677,0.125,0.0024096385542168677,0.0047281323877068565,0.002369668246445498
93,0.0,0.0,0,0,0.0
94,0.011851851851851851,0.6666666666666666,0.01185185185185185,0.023289665211062585,0.011782032400589101
95,0.001160092807424594,0.5,0.001160092807424594,0.0023148148148148147,0.0011587485515643105
97,0.010362694300518135,0.6,0.010362694300518135,0.020373514431239387,0.010291595197255575
98,0.0023584905660377358,0.2,0.0023584905660377358,0.004662004662004662,0.002336448598130841
99,0.005865102639296188,0.5,0.005865102639296188,0.011594202898550725,0.0058309037900874635
100,0.013353115727002967,1.0,0.013353115727002967,0.026354319180087845,0.013353115727002967
101,0.0,0.0,0,0,0.0
102,0.0,0.0,0,0,0.0
103,0.0023837902264600714,1.0,0.0023837902264600714,0.0047562425683709865,0.0023837902264600714
104,0.0015220700152207,0.2,0.0015220700152207003,0.0030211480362537764,0.0015128593040847202
105,0.011848341232227487,1.0,0.011848341232227487,0.023419203747072598,0.011848341232227487
106,0.003601440576230492,0.6,0.0036014405762304926,0.0071599045346062064,0.003592814371257485
107,0.024,0.42857142857142855,0.024,0.045454545454545456,0.023255813953488372
108,0.0,0.0,0,0,0.0
109,0.005277044854881266,0.8,0.005277044854881266,0.010484927916120577,0.005270092226613966
110,0.002976190476190476,0.25,0.002976190476190476,0.0058823529411764705,0.0029498525073746312
111,0.0055147058823529415,0.8571428571428571,0.0055147058823529415,0.010958904109589041,0.005509641873278237
112,0.0,0.0,0,0,0.0
113,0.005813953488372093,0.75,0.005813953488372093,0.011538461538461537,0.005802707930367505
114,0.004210526315789474,1.0,0.004210526315789474,0.008385744234800839,0.004210526315789474
116,0.0035650623885918,0.4,0.0035650623885918,0.007067137809187279,0.0035460992907801418
118,0.002982107355864811,1.0,0.002982107355864811,0.005946481665014865,0.002982107355864811
119,0.0007142857142857143,1.0,0.0007142857142857143,0.0014275517487508922,0.0007142857142857143
120,0.0064285714285714285,1.0,0.0064285714285714285,0.012775017743080198,0.0064285714285714285
121,0.002036659877800407,0.14285714285714285,0.002036659877800407,0.004016064257028112,0.002012072434607646
122,0.0024271844660194173,0.2222222222222222,0.0024271844660194173,0.004801920768307323,0.0024067388688327317
123,0.0,0.0,0,0,0.0
126,0.0038684719535783366,0.5,0.0038684719535783366,0.007677543186180423,0.0038535645472061657
128,0.0019723865877712033,1.0,0.0019723865877712033,0.003937007874015748,0.0019723865877712033
130,0.009933774834437087,0.6,0.009933774834437087,0.01954397394136808,0.009868421052631578
131,0.02622950819672131,1.0,0.02622950819672131,0.05111821086261981,0.02622950819672131
132,0.0343980343980344,0.9333333333333333,0.0343980343980344,0.06635071090047394,0.03431372549019608
133,0.010043041606886656,1.0,0.010043041606886656,0.019886363636363636,0.010043041606886656
135,0.0121580547112462,1.0,0.0121580547112462,0.024024024024024027,0.0121580547112462
136,0.016,0.6666666666666666,0.016,0.03125,0.015873015873015872
137,0.0027816411682892906,0.5,0.0027816411682892906,0.005532503457814661,0.0027739251040221915
138,0.0020491803278688526,1.0,0.0020491803278688526,0.00408997955010225,0.0020491803278688526
139,0.07142857142857142,0.25,0.07142857142857142,0.11111111111111112,0.058823529411764705
140,0.0025906735751295338,0.16666666666666666,0.0025906735751295338,0.00510204081632653,0.0025575447570332483
141,0.006666666666666667,0.6666666666666666,0.006666666666666667,0.013201320132013201,0.006644518272425249
142,0.0029498525073746312,1.0,0.0029498525073746312,0.0058823529411764705,0.0029498525073746312
143,0.004424778761061947,0.5,0.004424778761061947,0.008771929824561403,0.004405286343612335
145,0.007285974499089253,0.5714285714285714,0.007285974499089253,0.014388489208633093,0.007246376811594203
146,0.0049261083743842365,0.5,0.0049261083743842365,0.00975609756097561,0.004901960784313725
147,0.014858841010401188,1.0,0.014858841010401188,0.029282576866764276,0.014858841010401188
148,0.0053285968028419185,0.5,0.0053285968028419185,0.01054481546572935,0.00530035335689046
149,0.003948667324777887,0.36363636363636365,0.003948667324777887,0.0078125,0.00392156862745098
150,0.0019138755980861245,1.0,0.0019138755980861245,0.0038204393505253107,0.0019138755980861245
152,0.0,0.0,0,0,0.0
153,0.008620689655172414,0.7142857142857143,0.008620689655172414,0.017035775127768316,0.00859106529209622
154,0.002680965147453083,0.5,0.002680965147453083,0.005333333333333333,0.00267379679144385
155,0.01818181818181818,0.6666666666666666,0.01818181818181818,0.035398230088495575,0.018018018018018018
156,0.010787486515641856,0.7142857142857143,0.010787486515641856,0.021253985122210415,0.010741138560687433
157,0.0330188679245283,0.5384615384615384,0.0330188679245283,0.062222222222222213,0.03211009174311927
158,0.006430868167202572,0.5,0.006430868167202572,0.012698412698412697,0.006389776357827476
